2025-03-12 14:09:44,469 - INFO - ------------------------------------
2025-03-12 14:09:44,469 - INFO - ------------------------------------
2025-03-12 14:09:44,469 - INFO - ----- New Pacman A* Search Run -----
2025-03-12 14:09:44,469 - INFO - Start time: 2025-03-12 14:09:44.469163
2025-03-12 14:09:44,469 - INFO - Arguments: Namespace(layout_file='example_layout.txt', heuristic='mfd', no_visual=False, cell_size=20, delay=0.05, output=None)
2025-03-12 14:09:44,469 - INFO - Loading maze from example_layout.txt
2025-03-12 14:09:44,469 - INFO - Loading maze from file: example_layout.txt
2025-03-12 14:09:44,470 - INFO - Pacman start position found at (17, 1)
2025-03-12 14:09:44,470 - INFO - Maze loaded, dimensions: 36x18
2025-03-12 14:09:44,470 - INFO - Total food points: 8
2025-03-12 14:09:44,470 - INFO - Total magical pies: 4
2025-03-12 14:09:44,470 - INFO - Maze loaded successfully
2025-03-12 14:09:44,470 - INFO - Using Minimum Food Distance heuristic
2025-03-12 14:09:44,470 - INFO - Starting A* search
2025-03-12 14:09:44,470 - INFO - A* search started from position (17, 1)
2025-03-12 14:09:44,470 - INFO - Number of food points: 8
2025-03-12 14:09:44,470 - INFO - Number of magical pies: 4
2025-03-12 14:09:44,497 - INFO - States explored: 1000, current position: (24, 6), remaining food: 5
2025-03-12 14:09:44,524 - INFO - States explored: 2000, current position: (14, 6), remaining food: 6
2025-03-12 14:09:44,552 - INFO - States explored: 3000, current position: (6, 11), remaining food: 5
2025-03-12 14:09:44,581 - INFO - States explored: 4000, current position: (4, 11), remaining food: 6
2025-03-12 14:09:44,610 - INFO - States explored: 5000, current position: (10, 2), remaining food: 7
2025-03-12 14:09:44,637 - INFO - States explored: 6000, current position: (17, 7), remaining food: 6
2025-03-12 14:09:44,665 - INFO - States explored: 7000, current position: (29, 16), remaining food: 7
2025-03-12 14:09:44,695 - INFO - States explored: 8000, current position: (24, 10), remaining food: 7
2025-03-12 14:09:44,737 - INFO - States explored: 9000, current position: (11, 7), remaining food: 6
2025-03-12 14:09:44,766 - INFO - States explored: 10000, current position: (6, 8), remaining food: 7
2025-03-12 14:09:44,796 - INFO - States explored: 11000, current position: (17, 8), remaining food: 5
2025-03-12 14:09:44,825 - INFO - States explored: 12000, current position: (6, 5), remaining food: 7
2025-03-12 14:09:44,855 - INFO - States explored: 13000, current position: (6, 9), remaining food: 6
2025-03-12 14:09:44,884 - INFO - States explored: 14000, current position: (6, 9), remaining food: 6
2025-03-12 14:09:44,914 - INFO - States explored: 15000, current position: (5, 12), remaining food: 4
2025-03-12 14:09:44,943 - INFO - States explored: 16000, current position: (1, 5), remaining food: 5
2025-03-12 14:09:44,973 - INFO - States explored: 17000, current position: (5, 7), remaining food: 6
2025-03-12 14:09:45,002 - INFO - States explored: 18000, current position: (7, 4), remaining food: 6
